"FILENAME"	"GIVENNAME"	"EXPERIMENT"	"MONTH"	"CELLTYPE"	"LOCATION"	"MISC"
"255"	"zj31_20m_B_20160328_pp_50trim_CD124_R3.fastq"	"20m B"	"CD124"	NA	""	""	""
"256"	"zj31_20m_Gr_20160328_pp_50trim_CD124_R1.fastq"	"20m Gr"	"CD124"	NA	""	""	""
"257"	"zj31_20m_Mono_20160328_pp_50trim_CD124_R4.fastq"	"20m Mono"	"CD124"	NA	""	""	""
"258"	NA	NA	NA	NA	NA	NA	NA
"259"	NA	NA	NA	NA	NA	NA	NA
"260"	"zj31_20m_T_CD3p_20160328_pp_50trim_CD124_R2.fastq"	"20m T CD3"	"CD124"	NA	""	""	""
"261"	NA	NA	NA	NA	NA	NA	NA
"262"	NA	NA	NA	NA	NA	NA	NA
"263"	NA	NA	NA	NA	NA	NA	NA
"264"	NA	NA	NA	NA	NA	NA	NA
"265"	NA	NA	NA	NA	NA	NA	NA
"266"	NA	NA	NA	NA	NA	NA	NA
"267"	NA	NA	NA	NA	NA	NA	NA
"268"	NA	NA	NA	NA	NA	NA	NA
"269"	NA	NA	NA	NA	NA	NA	NA
"270"	NA	NA	NA	NA	NA	NA	NA
"271"	NA	NA	NA	NA	NA	NA	NA
"272"	NA	NA	NA	NA	NA	NA	NA
"273"	NA	NA	NA	NA	NA	NA	NA
"274"	NA	NA	NA	NA	NA	NA	NA
